repeat,fold,threshold,test_case_count,test_leakage_group_count,test_pass,test_fail,test_tp,test_fp,test_tn,test_fn,test_far,test_precision,test_recall,test_f1,test_specificity,test_balanced_accuracy,test_g_mean,test_coverage,test_accepted_high_risk_proxy_failures,test_rejected_technical_pass_cases
7,4,0.78,14,12,12,2,11.0,0.0,2.0,1.0,0.0,1.0,0.9166666666666666,0.9565217391304348,1.0,0.9583333333333333,0.9574271077563381,0.7857142857142857,0,1
7,4,0.7888,14,12,12,2,11.0,0.0,2.0,1.0,0.0,1.0,0.9166666666666666,0.9565217391304348,1.0,0.9583333333333333,0.9574271077563381,0.7857142857142857,0,1
7,5,0.78,193,13,80,113,68.0,0.0,113.0,12.0,0.0,1.0,0.85,0.9189189189189189,1.0,0.925,0.9219544457292888,0.35233160621761656,0,12
7,5,0.7888,193,13,80,113,68.0,0.0,113.0,12.0,0.0,1.0,0.85,0.9189189189189189,1.0,0.925,0.9219544457292888,0.35233160621761656,0,12
8,1,0.78,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
8,1,0.7888,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
8,2,0.78,16,7,11,5,11.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,0,0
8,2,0.7888,16,7,11,5,11.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,0,0
8,3,0.78,30,12,21,9,18.0,0.0,9.0,3.0,0.0,1.0,0.8571428571428571,0.923076923076923,1.0,0.9285714285714286,0.9258200997725514,0.6,0,3
8,3,0.7888,30,12,21,9,18.0,0.0,9.0,3.0,0.0,1.0,0.8571428571428571,0.923076923076923,1.0,0.9285714285714286,0.9258200997725514,0.6,0,3
8,4,0.78,20,12,17,3,15.0,0.0,3.0,2.0,0.0,1.0,0.8823529411764706,0.9375,1.0,0.9411764705882353,0.9393364366277243,0.75,0,2
8,4,0.7888,20,12,17,3,15.0,0.0,3.0,2.0,0.0,1.0,0.8823529411764706,0.9375,1.0,0.9411764705882353,0.9393364366277243,0.75,0,2
8,5,0.78,170,14,68,102,58.0,0.0,102.0,10.0,0.0,1.0,0.8529411764705882,0.9206349206349206,1.0,0.9264705882352942,0.9235481451827989,0.3411764705882353,0,10
8,5,0.7888,170,14,68,102,58.0,0.0,102.0,10.0,0.0,1.0,0.8529411764705882,0.9206349206349206,1.0,0.9264705882352942,0.9235481451827989,0.3411764705882353,0,10
9,1,0.78,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
9,1,0.7888,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
9,2,0.78,7,7,7,0,6.0,0.0,0.0,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.42857142857142855,0.0,0.8571428571428571,0,1
9,2,0.7888,7,7,7,0,6.0,0.0,0.0,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.42857142857142855,0.0,0.8571428571428571,0,1
9,3,0.78,29,12,21,8,20.0,0.0,8.0,1.0,0.0,1.0,0.9523809523809523,0.975609756097561,1.0,0.9761904761904762,0.9759000729485332,0.6896551724137931,0,1
9,3,0.7888,29,12,21,8,20.0,0.0,8.0,1.0,0.0,1.0,0.9523809523809523,0.975609756097561,1.0,0.9761904761904762,0.9759000729485332,0.6896551724137931,0,1
9,4,0.78,24,13,17,7,16.0,0.0,7.0,1.0,0.0,1.0,0.9411764705882353,0.9696969696969697,1.0,0.9705882352941176,0.9701425001453319,0.6666666666666666,0,1
9,4,0.7888,24,13,17,7,16.0,0.0,7.0,1.0,0.0,1.0,0.9411764705882353,0.9696969696969697,1.0,0.9705882352941176,0.9701425001453319,0.6666666666666666,0,1
9,5,0.78,176,13,72,104,60.0,0.0,104.0,12.0,0.0,1.0,0.8333333333333334,0.9090909090909091,1.0,0.9166666666666667,0.9128709291752769,0.3409090909090909,0,12
9,5,0.7888,176,13,72,104,60.0,0.0,104.0,12.0,0.0,1.0,0.8333333333333334,0.9090909090909091,1.0,0.9166666666666667,0.9128709291752769,0.3409090909090909,0,12
10,1,0.78,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
10,1,0.7888,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
10,2,0.78,6,6,6,0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
10,2,0.7888,6,6,6,0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
10,3,0.78,31,12,21,10,19.0,0.0,10.0,2.0,0.0,1.0,0.9047619047619048,0.9500000000000001,1.0,0.9523809523809523,0.9511897312113419,0.6129032258064516,0,2
10,3,0.7888,31,12,21,10,19.0,0.0,10.0,2.0,0.0,1.0,0.9047619047619048,0.9500000000000001,1.0,0.9523809523809523,0.9511897312113419,0.6129032258064516,0,2
10,4,0.78,15,13,13,2,13.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0,0
10,4,0.7888,15,13,13,2,13.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0,0
10,5,0.78,184,14,77,107,64.0,0.0,107.0,13.0,0.0,1.0,0.8311688311688312,0.9078014184397163,1.0,0.9155844155844156,0.9116846116771036,0.34782608695652173,0,13
10,5,0.7888,184,14,77,107,64.0,0.0,107.0,13.0,0.0,1.0,0.8311688311688312,0.9078014184397163,1.0,0.9155844155844156,0.9116846116771036,0.34782608695652173,0,13
