threshold,n,leakage_groups,tp,fp,tn,fn,technical_far,false_rejection_rate,precision,recall,specificity,f1,balanced_accuracy,g_mean,youden_j,coverage,accepted_high_risk_proxy_failures,group_weighted,fixed_group_cv_f1_std,is_selected
0.091,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.092,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.093,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.094,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.095,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.096,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.097,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.097143,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.098,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.099,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.1,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.101,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.102,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.103,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.104,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.105,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.105238,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.106,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.107,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.108,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.109,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.11,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.111,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.112,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
0.113,237,46,118.0,109.0,10.0,0.0,0.9159663865546218,0.0,0.5198237885462555,1.0,0.08403361344537816,0.6840579710144928,0.542016806722689,0.28988551782622424,0.08403361344537807,0.9578059071729957,103,False,0.14508678366397443,False
